------ラジオ------
https://simul.drdi.st.nhk/live/3/joined/master.m3u8　「Radio,日本/NHK AM」
https://www.youtube.com/watch?v=220KV8WmbdI   「小泉今日子,木枯らしに抱かれて (1987)」　#9e8351　地平線#9576d9　雲1
https://www.youtube.com/watch?v=2fYI-2EhwE4   「小比類巻かほる,Hold On Me (1987)」　#4dbcd4　地平線#cd6eaf
https://www.youtube.com/watch?v=H1AI37YhxxI   「長渕剛,ろくなもんじゃねえ (1987)」　#be8437　地平線#d7c077　雲1
https://www.youtube.com/watch?v=P8I5SqN1rYQ   「やしきたかじん,ICHIZU (1987)」　#10104a　地平線#79c8b0　星　単色
https://www.youtube.com/watch?v=-ZpQmBhxOT0   「松任谷由実,リフレインが叫んでる (1988)」　#ddb75e　地平線#9da5b4
https://www.youtube.com/watch?v=Ezf1jDeLGsY   「REBECCA,MOON (1988)」　#131726　地平線#2e3e59　星
https://www.youtube.com/watch?v=rzfLx6TVCv0   「プリンセス プリンセス,M (1988)」　#4fc5d6　地平線#9ae4dc　雲1
https://www.youtube.com/watch?v=KRsg4sy9yqo   「井上陽水,今夜、私に (1988)」　#090909　地平線#3d175a　星　単色　音量+10%
https://www.youtube.com/watch?v=InPGzqxwlFg   「TMNETWORK,BEYOND THE TIME (メビウスの宇宙を越えて) (1988)」　#7452da　地平線#8bded6　星
https://www.youtube.com/watch?v=fCzj_4bQWnU   「斉藤由貴&来生たかお,ORACION -祈り- (1988)」　#1d1c80　地平線#af7aca　星　音量+8%
https://www.youtube.com/watch?v=sM5RRkIH6Kc   「岡村靖幸,SUPER GIRL (1988)」　#32bad2　地平線#55caa7
https://www.youtube.com/watch?v=by-107dCuJo   「小比類巻かほる,TONIGHT (1988)」　#151831　地平線#244956　星
https://www.youtube.com/watch?v=wcvnmwrsJn8   「Wink,愛が止まらない ～Turn it Into Love～ (1988)」　#a87cdc　地平線#c4afea　雲1　音量-5%
https://www.youtube.com/watch?v=XT8eyaJWIFw   「渡辺美里,君の弱さ (1988)」　#c7903d　地平線#d3be6e　雲1
https://www.youtube.com/watch?v=VT1GnjxcwZc   「工藤静香,MUGO・ん・・・色っぽい (1988)」　#d04ed3　地平線#aae9e2　雲1　音量-5%
https://www.youtube.com/watch?v=585XYrAKzlQ   「田原俊彦,抱きしめてTONIGHT(1988)」　#090c1b　地平線#413164　星
https://www.youtube.com/watch?v=XFGWYi_cAx4   「光GENJI,パラダイス銀河 (1988)」　#1e1e83　地平線#2d2828　星
https://www.youtube.com/watch?v=wcvnmwrsJn8   「Wink,愛が止まらない ～Turn it Into Love～ (1988)」　#a87cdc　地平線#c4afea　雲1　音量-5%
https://www.youtube.com/watch?v=GK4jviXPzMU   「山城祥二,♪AKIRA (1988)」　#794bc9　地平線#d6779e　星
https://www.youtube.com/watch?v=erFZkw5aoXI   「小泉今日子,快盗ルビイ (1988)」　#d3a634　地平線#9b7c3a
https://www.youtube.com/watch?v=MrcNSFYCxf4   「BARBEE BOYS,目を閉じておいてよ (1989)」　#7a4bc6　地平線#d6799f　星
https://www.youtube.com/watch?v=C2bmkTss-p4   「竹内まりや,シングル・アゲイン (1989)」　#ba6e55　地平線#89665d
https://www.youtube.com/watch?v=i1FQX--FeNg   「COMPLEX,BE MY BABY (1989)」　#759edd　地平線#aeceec　雲1
https://www.youtube.com/watch?v=OYsfLCh82zM   「GO-BANG’S,あいにきて I・NEED・YOU ! (1989)」　#c5703f　地平線#dab48e　雲1
https://www.youtube.com/watch?v=mjNkitNs98M   「小川美由希,Never Give Me Up! (1989)」　#29a786　地平線#7dd3e0　雲1
https://www.youtube.com/watch?v=6EJ4mGjIRQw   「今井美樹,瞳がほほえむから (1989)」　#96e1d9　地平線#abd5dd　雲1
https://www.youtube.com/watch?v=lukTLTVoAno   「CHAGE and ASKA,WALK (1989)」　#7797ca　地平線#b2c1e2　雲1
https://www.youtube.com/watch?v=zLStJs4BK6M   「CHAGE and ASKA,Pride (1989)」　#7cc0de　地平線#a08435　音量+15%
https://www.youtube.com/watch?v=MyINhQ6UW4Y   「CHAGE and ASKA,LOVE SONG (1989)」　#d65fc1　地平線#c2a7ea　雲1　音量+15%
https://www.youtube.com/watch?v=ZFvDadVn06s   「ECHOES,ZOO (1989)」　#456382　地平線#768cb3　星
https://www.youtube.com/watch?v=5tM-nMFLc_Y   「UP-BEAT,Once Again (1989)」　#829dce　地平線#acbbdc　雲1　音量+20%
https://www.youtube.com/watch?v=0-a02uymYbA   「チェッカーズ,夜明けのブレス (1990)」　#0e121e　地平線#2f4062　夜　星
https://www.youtube.com/watch?v=LDe0rbDromY   「小田和正,ラブストーリーは突然に (1990)」　#ab68cc　地平線#dcade2　雲1
https://www.youtube.com/watch?v=BjSgm45gjPI   「辛島美登里,サイレント・イヴ (1990)」　#b66848　地平線#946b60
https://www.youtube.com/watch?v=uqRUlT2gKxA   「岡村靖幸,カルアミルク (1990)」　#ecd2a5　地平線#92d755
https://www.youtube.com/watch?v=f1FDmUqdy4A   「永井真理子,ミラクル・ガール (1990)」　#8436b5　地平線#53d0ae　星
https://www.youtube.com/watch?v=WfTkaKqQbGA   「LINDBERG,今すぐKiss Me (1990)」　#cb8cbe　地平線#e3bfd2　雲1
https://www.youtube.com/watch?v=VcEP7IcJJHs   「DREAMS COME TRUE,笑顔の行方 (1990)」　#ce89c1　地平線#e3bfd1　雲1
https://www.youtube.com/watch?v=XSX-wbJnUSA   「森川美穂,Blue Water (1990)」　#4fd791　地平線#98dd94　雲1
